date,content,source,user name,followers,handle,location,country,link,tags,replies,reposts,likes,views,included url
02/07/2024,"Missed MaTos - Masters on Thoracic Oncology Summit? Learn Clinical Tips and Key Points for your Oncology Practice, with insights on the New Role of Microbiome in Lung Cancer Immunotherapy.Save the date for Matos 2024 - Lake Tahoe!  #MaTOS2024 #ThoracicOncology",x.com,The Medical Educator Consortium,996,@mecmededucation,,,https://x.com/mecmededucation/status/1755269835817210224,"#MaTOS2024, #ThoracicOncology",0,0,0,89,
09/04/2024,"Save the Date! - November 21-24, 2024 Join us for the MaTOS Masters in Thoracic Oncology Summit – a premier 3-day event featuring leading experts in thoracic oncology.                        
Register Now! - Secure your spot at http://matos-lung.com                        
#MaTOS2024 #ThoracicOncology #lungcancer                        
                        ",x.com,The Medical Educator Consortium,996,@mecmededucation,,,https://x.com/mecmededucation/status/1831409445504700505,"#MaTOS2024, #ThoracicOncology, #lungcancer",0,1,1,457,http://matos-lung.com
06/07/2024,"Join us at the MaTOS Lung, November 21-24, 2024 in beautiful Lake Tahoe! Explore cutting-edge topics in thoracic oncology like cancer screening, early molecular diagnosis, and more. Don’t miss out! Register today:  http://matos-lung.com #MaTOS2024",x.com,The Medical Educator Consortium,996,@mecmededucation,,,https://x.com/mecmededucation/status/1799161215576412364, #MaTOS2024,0,0,0,44,http://matos-lung.com
05/23/2024,"Excited for the MaTOS | Masters In Thoracic Oncology Summit? Join us from November 21 to 24, 2024, as key thoracic oncology experts address and discuss the current challenges and future directions in the lung cancer space. Register Today! http://matos-lung.com #MaTOS2024",x.com,The Medical Educator Consortium,996,@mecmededucation,,,https://x.com/mecmededucation/status/1793669630390841366,#MaTOS2024,0,0,0,28,http://matos-lung.com
05/09/2024,"Registration is Now Open! Discuss the latest discoveries in lung cancer care at the Masters in Thoracic Oncology Summit | MaTOS on November 21 - 24, 2024. Don’t miss out! Secure your spot http://matos-lung.com #MaTOS2024 #ThoracicOncology #LungCancerAwareness #OncologySummit
",x.com,The Medical Educator Consortium,996,@mecmededucation,,,https://x.com/mecmededucation/status/1788604546500923819,"#MaTOS2024, #ThoracicOncology, #LungCancerAwareness, #OncologySummit",0,0,0,29,http://matos-lung.com
01/31/2024,"Clinical tips and insights from MaTOS - Masters in Thoracic Oncology Summit!Learn from experts like Drs. Bazhenova, Carbone, Fidler, Leighl, and more. Uncover the latest in Bispecific Antibodies, Biomarkers, KRAS mutant NSCLC, NRG1-Ready for more? Save the date Nov. 21-24, 2024Don’t miss out! Secure your spot http://matos-lung.com
#MaTOS2024, #ThoracicOncology, #LungCancerAwareness, #OncologySummit",x.com,The Medical Educator Consortium,996,@mecmededucation,,,https://x.com/mecmededucation/status/1752755428025332070,,0,0,0,54,
10/31/2024,"Just One Month Away! Join us at the Masters in Thoracic Oncology Summit (MaTOS) on November 21-24, 2024, for three transformative days with leading experts in lung cancer.  Register now at http://matos-lung.com! #MaTOS @edgardo_ny @LuisRaezMD @christine_lovly
",x.com,The Medical Educator Consortium,996,@mecmededucation,,,https://x.com/mecmededucation/status/1852082941213499529,#MaTOS,1,0,1,37,http://matos-lung.com
02/13/2024,"Unlock invaluable insights from MaTOS - Masters in Thoracic Oncology Summit! Delve into Clinical Tips and Key Points for your Oncology Practice: Improving Targeted Therapy in NSCLC, Don't miss out on MaTOS 2024, details coming soon!  #MaTOS #ThoracicOncology",x.com,The Medical Educator Consortium,996,@mecmededucation,,,https://x.com/mecmededucation/status/1757520750645318034,"#MaTOS,  #ThoracicOncology",0,0,0,68,
11/19/2024,"Join us this Friday, Nov 22nd, 9:30am PST to discuss 1L therapy for #EGFR NSCLC, at the #MaTOS meeting or virtually. I'll discuss the options with Dr. @ZPiotrowskaMD in this free 1h #CME #MOC activity with @PeerView. Hope to see you there!",x.com,"Stephen V Liu, MD",25700,@StephenVLiu,"Georgetown, Washinton DC",United States,https://x.com/StephenVLiu/status/1858851316858024348,"#EGFR, #MaTOS , #CME, #MOC ",0,6,22,"1,858",https://lrn.peerview.com/150210399_1/150210399_1_p1/stage1reg?CountryID=US&MemberID=318583972
11/11/2024,One Weeks Away! Get ready for MaTOS | Masters in Thoracic Oncology Summit!    Unlock exclusive updates from top medical experts in lung cancer care.   Register Now at http://matos-lung.com   #ThoracicOncology #NSCLC #LungCancer @edgardo_ny @LuisRaezMD @christine_lov,x.com,The Medical Educator Consortium,996,@mecmededucation,,,https://x.com/mecmededucation/status/1856055881932386549,"#ThoracicOncology, #NSCLC, #LungCancer",0,1,3,524,http://matos-lung.com
